Ref_Date,GEO,AREA,EST,Vector,Coordinate,Value
2013,Quebec,Total container area,Hectares,v52222181,6.4.3,507.00000000
2014,Quebec,Total container area,Hectares,v52222181,6.4.3,506.00000000
2015,Quebec,Total container area,Hectares,v52222181,6.4.3,527.00000000
2007,Ontario,Total nurseries,Number,v52222138,7.1.1,600.00000000
2008,Ontario,Total nurseries,Number,v52222138,7.1.1,580.00000000
2009,Ontario,Total nurseries,Number,v52222138,7.1.1,560.00000000
2010,Ontario,Total nurseries,Number,v52222138,7.1.1,540.00000000
2011,Ontario,Total nurseries,Number,v52222138,7.1.1,520.00000000
2012,Ontario,Total nurseries,Number,v52222138,7.1.1,480.00000000
2013,Ontario,Total nurseries,Number,v52222138,7.1.1,470.00000000
2014,Ontario,Total nurseries,Number,v52222138,7.1.1,460.00000000
2015,Ontario,Total nurseries,Number,v52222138,7.1.1,450.00000000
2007,Ontario,Total nursery area,Acres,v52222193,7.2.2,0.00000000
2008,Ontario,Total nursery area,Acres,v52222193,7.2.2,23379.00000000
2009,Ontario,Total nursery area,Acres,v52222193,7.2.2,23710.00000000
2010,Ontario,Total nursery area,Acres,v52222193,7.2.2,24041.00000000
2011,Ontario,Total nursery area,Acres,v52222193,7.2.2,23770.00000000
2012,Ontario,Total nursery area,Acres,v52222193,7.2.2,22415.00000000
2013,Ontario,Total nursery area,Acres,v52222193,7.2.2,20064.00000000
2014,Ontario,Total nursery area,Acres,v52222193,7.2.2,19390.00000000
2015,Ontario,Total nursery area,Acres,v52222193,7.2.2,19141.00000000
2007,Ontario,Total nursery area,Hectares,v52222204,7.2.3,0.00000000
2008,Ontario,Total nursery area,Hectares,v52222204,7.2.3,9461.00000000
2009,Ontario,Total nursery area,Hectares,v52222204,7.2.3,9595.00000000
2010,Ontario,Total nursery area,Hectares,v52222204,7.2.3,9729.00000000
2011,Ontario,Total nursery area,Hectares,v52222204,7.2.3,9619.00000000
2012,Ontario,Total nursery area,Hectares,v52222204,7.2.3,9071.00000000
2013,Ontario,Total nursery area,Hectares,v52222204,7.2.3,8120.00000000
2014,Ontario,Total nursery area,Hectares,v52222204,7.2.3,7847.00000000
2015,Ontario,Total nursery area,Hectares,v52222204,7.2.3,7746.00000000
2007,Ontario,Total field area,Acres,v52222149,7.3.2,26505.00000000
2008,Ontario,Total field area,Acres,v52222149,7.3.2,21458.00000000
2009,Ontario,Total field area,Acres,v52222149,7.3.2,21689.00000000
2010,Ontario,Total field area,Acres,v52222149,7.3.2,21849.00000000
2011,Ontario,Total field area,Acres,v52222149,7.3.2,21045.00000000
2012,Ontario,Total field area,Acres,v52222149,7.3.2,19870.00000000
2013,Ontario,Total field area,Acres,v52222149,7.3.2,18014.00000000
2014,Ontario,Total field area,Acres,v52222149,7.3.2,17520.00000000
2015,Ontario,Total field area,Acres,v52222149,7.3.2,16974.00000000
2007,Ontario,Total field area,Hectares,v52222160,7.3.3,10726.00000000
2008,Ontario,Total field area,Hectares,v52222160,7.3.3,8684.00000000
2009,Ontario,Total field area,Hectares,v52222160,7.3.3,8777.00000000
2010,Ontario,Total field area,Hectares,v52222160,7.3.3,8842.00000000
2011,Ontario,Total field area,Hectares,v52222160,7.3.3,8517.00000000
2012,Ontario,Total field area,Hectares,v52222160,7.3.3,8041.00000000
2013,Ontario,Total field area,Hectares,v52222160,7.3.3,7290.00000000
2014,Ontario,Total field area,Hectares,v52222160,7.3.3,7090.00000000
2015,Ontario,Total field area,Hectares,v52222160,7.3.3,6869.00000000
2007,Ontario,Total container area,Acres,v52222171,7.4.2,0.00000000
2008,Ontario,Total container area,Acres,v52222171,7.4.2,1921.00000000
2009,Ontario,Total container area,Acres,v52222171,7.4.2,2021.00000000
2010,Ontario,Total container area,Acres,v52222171,7.4.2,2192.00000000
2011,Ontario,Total container area,Acres,v52222171,7.4.2,2725.00000000
2012,Ontario,Total container area,Acres,v52222171,7.4.2,2545.00000000
2013,Ontario,Total container area,Acres,v52222171,7.4.2,2050.00000000
2014,Ontario,Total container area,Acres,v52222171,7.4.2,1869.00000000
2015,Ontario,Total container area,Acres,v52222171,7.4.2,2167.00000000
2007,Ontario,Total container area,Hectares,v52222182,7.4.3,0.00000000
2008,Ontario,Total container area,Hectares,v52222182,7.4.3,777.00000000
2009,Ontario,Total container area,Hectares,v52222182,7.4.3,818.00000000
2010,Ontario,Total container area,Hectares,v52222182,7.4.3,887.00000000
2011,Ontario,Total container area,Hectares,v52222182,7.4.3,1103.00000000
2012,Ontario,Total container area,Hectares,v52222182,7.4.3,1030.00000000
2013,Ontario,Total container area,Hectares,v52222182,7.4.3,830.00000000
2014,Ontario,Total container area,Hectares,v52222182,7.4.3,756.00000000
2015,Ontario,Total container area,Hectares,v52222182,7.4.3,877.00000000
2007,Manitoba,Total nurseries,Number,v52222139,8.1.1,49.00000000
2008,Manitoba,Total nurseries,Number,v52222139,8.1.1,49.00000000
2009,Manitoba,Total nurseries,Number,v52222139,8.1.1,48.00000000
2010,Manitoba,Total nurseries,Number,v52222139,8.1.1,48.00000000
2011,Manitoba,Total nurseries,Number,v52222139,8.1.1,50.00000000
2012,Manitoba,Total nurseries,Number,v52222139,8.1.1,55.00000000
2013,Manitoba,Total nurseries,Number,v52222139,8.1.1,50.00000000
2014,Manitoba,Total nurseries,Number,v52222139,8.1.1,45.00000000
2015,Manitoba,Total nurseries,Number,v52222139,8.1.1,40.00000000
2007,Manitoba,Total nursery area,Acres,v52222194,8.2.2,0.00000000
2008,Manitoba,Total nursery area,Acres,v52222194,8.2.2,1699.00000000
2009,Manitoba,Total nursery area,Acres,v52222194,8.2.2,1745.00000000
2010,Manitoba,Total nursery area,Acres,v52222194,8.2.2,1791.00000000
2011,Manitoba,Total nursery area,Acres,v52222194,8.2.2,1840.00000000
2012,Manitoba,Total nursery area,Acres,v52222194,8.2.2,1225.00000000
2013,Manitoba,Total nursery area,Acres,v52222194,8.2.2,1021.00000000
2014,Manitoba,Total nursery area,Acres,v52222194,8.2.2,872.00000000
2015,Manitoba,Total nursery area,Acres,v52222194,8.2.2,806.00000000
2007,Manitoba,Total nursery area,Hectares,v52222205,8.2.3,0.00000000
2008,Manitoba,Total nursery area,Hectares,v52222205,8.2.3,688.00000000
2009,Manitoba,Total nursery area,Hectares,v52222205,8.2.3,706.00000000
2010,Manitoba,Total nursery area,Hectares,v52222205,8.2.3,725.00000000
2011,Manitoba,Total nursery area,Hectares,v52222205,8.2.3,745.00000000
2012,Manitoba,Total nursery area,Hectares,v52222205,8.2.3,496.00000000
2013,Manitoba,Total nursery area,Hectares,v52222205,8.2.3,413.00000000
2014,Manitoba,Total nursery area,Hectares,v52222205,8.2.3,353.00000000
2015,Manitoba,Total nursery area,Hectares,v52222205,8.2.3,326.00000000
2007,Manitoba,Total field area,Acres,v52222150,8.3.2,1593.00000000
2008,Manitoba,Total field area,Acres,v52222150,8.3.2,1477.00000000
2009,Manitoba,Total field area,Acres,v52222150,8.3.2,1541.00000000
2010,Manitoba,Total field area,Acres,v52222150,8.3.2,1539.00000000
2011,Manitoba,Total field area,Acres,v52222150,8.3.2,1555.00000000
2012,Manitoba,Total field area,Acres,v52222150,8.3.2,1005.00000000
2013,Manitoba,Total field area,Acres,v52222150,8.3.2,900.00000000
2014,Manitoba,Total field area,Acres,v52222150,8.3.2,756.00000000
2015,Manitoba,Total field area,Acres,v52222150,8.3.2,690.00000000
2007,Manitoba,Total field area,Hectares,v52222161,8.3.3,645.00000000
2008,Manitoba,Total field area,Hectares,v52222161,8.3.3,598.00000000
2009,Manitoba,Total field area,Hectares,v52222161,8.3.3,624.00000000
2010,Manitoba,Total field area,Hectares,v52222161,8.3.3,623.00000000
2011,Manitoba,Total field area,Hectares,v52222161,8.3.3,629.00000000
2012,Manitoba,Total field area,Hectares,v52222161,8.3.3,407.00000000
2013,Manitoba,Total field area,Hectares,v52222161,8.3.3,364.00000000
2014,Manitoba,Total field area,Hectares,v52222161,8.3.3,306.00000000
2015,Manitoba,Total field area,Hectares,v52222161,8.3.3,279.00000000
2007,Manitoba,Total container area,Acres,v52222172,8.4.2,0.00000000
2008,Manitoba,Total container area,Acres,v52222172,8.4.2,222.00000000
2009,Manitoba,Total container area,Acres,v52222172,8.4.2,204.00000000
2010,Manitoba,Total container area,Acres,v52222172,8.4.2,252.00000000
2011,Manitoba,Total container area,Acres,v52222172,8.4.2,285.00000000
2012,Manitoba,Total container area,Acres,v52222172,8.4.2,220.00000000
2013,Manitoba,Total container area,Acres,v52222172,8.4.2,121.00000000
2014,Manitoba,Total container area,Acres,v52222172,8.4.2,116.00000000
2015,Manitoba,Total container area,Acres,v52222172,8.4.2,116.00000000
2007,Manitoba,Total container area,Hectares,v52222183,8.4.3,0.00000000
2008,Manitoba,Total container area,Hectares,v52222183,8.4.3,90.00000000
2009,Manitoba,Total container area,Hectares,v52222183,8.4.3,83.00000000
2010,Manitoba,Total container area,Hectares,v52222183,8.4.3,102.00000000
2011,Manitoba,Total container area,Hectares,v52222183,8.4.3,115.00000000
2012,Manitoba,Total container area,Hectares,v52222183,8.4.3,89.00000000
2013,Manitoba,Total container area,Hectares,v52222183,8.4.3,49.00000000
2014,Manitoba,Total container area,Hectares,v52222183,8.4.3,47.00000000
2015,Manitoba,Total container area,Hectares,v52222183,8.4.3,47.00000000
2007,Saskatchewan,Total nurseries,Number,v52222140,9.1.1,31.00000000
2008,Saskatchewan,Total nurseries,Number,v52222140,9.1.1,31.00000000
2009,Saskatchewan,Total nurseries,Number,v52222140,9.1.1,32.00000000
2010,Saskatchewan,Total nurseries,Number,v52222140,9.1.1,33.00000000
2011,Saskatchewan,Total nurseries,Number,v52222140,9.1.1,35.00000000
2012,Saskatchewan,Total nurseries,Number,v52222140,9.1.1,35.00000000
2013,Saskatchewan,Total nurseries,Number,v52222140,9.1.1,30.00000000
2014,Saskatchewan,Total nurseries,Number,v52222140,9.1.1,30.00000000
2015,Saskatchewan,Total nurseries,Number,v52222140,9.1.1,25.00000000
2007,Saskatchewan,Total nursery area,Acres,v52222195,9.2.2,0.00000000
2008,Saskatchewan,Total nursery area,Acres,v52222195,9.2.2,F
2009,Saskatchewan,Total nursery area,Acres,v52222195,9.2.2,1598.00000000
2010,Saskatchewan,Total nursery area,Acres,v52222195,9.2.2,1787.00000000
2011,Saskatchewan,Total nursery area,Acres,v52222195,9.2.2,F
2012,Saskatchewan,Total nursery area,Acres,v52222195,9.2.2,1745.00000000
2013,Saskatchewan,Total nursery area,Acres,v52222195,9.2.2,1641.00000000
2014,Saskatchewan,Total nursery area,Acres,v52222195,9.2.2,1738.00000000
2015,Saskatchewan,Total nursery area,Acres,v52222195,9.2.2,1728.00000000
2007,Saskatchewan,Total nursery area,Hectares,v52222206,9.2.3,0.00000000
2008,Saskatchewan,Total nursery area,Hectares,v52222206,9.2.3,F
2009,Saskatchewan,Total nursery area,Hectares,v52222206,9.2.3,647.00000000
2010,Saskatchewan,Total nursery area,Hectares,v52222206,9.2.3,723.00000000
2011,Saskatchewan,Total nursery area,Hectares,v52222206,9.2.3,F
2012,Saskatchewan,Total nursery area,Hectares,v52222206,9.2.3,706.00000000
2013,Saskatchewan,Total nursery area,Hectares,v52222206,9.2.3,664.00000000
2014,Saskatchewan,Total nursery area,Hectares,v52222206,9.2.3,703.00000000
2015,Saskatchewan,Total nursery area,Hectares,v52222206,9.2.3,699.00000000
2007,Saskatchewan,Total field area,Acres,v52222151,9.3.2,1220.00000000
2008,Saskatchewan,Total field area,Acres,v52222151,9.3.2,F
2009,Saskatchewan,Total field area,Acres,v52222151,9.3.2,1524.00000000
2010,Saskatchewan,Total field area,Acres,v52222151,9.3.2,1693.00000000
2011,Saskatchewan,Total field area,Acres,v52222151,9.3.2,x
2012,Saskatchewan,Total field area,Acres,v52222151,9.3.2,1655.00000000
2013,Saskatchewan,Total field area,Acres,v52222151,9.3.2,1551.00000000
2014,Saskatchewan,Total field area,Acres,v52222151,9.3.2,1659.00000000
2015,Saskatchewan,Total field area,Acres,v52222151,9.3.2,1645.00000000
2007,Saskatchewan,Total field area,Hectares,v52222162,9.3.3,494.00000000
2008,Saskatchewan,Total field area,Hectares,v52222162,9.3.3,F
2009,Saskatchewan,Total field area,Hectares,v52222162,9.3.3,617.00000000
2010,Saskatchewan,Total field area,Hectares,v52222162,9.3.3,685.00000000
2011,Saskatchewan,Total field area,Hectares,v52222162,9.3.3,x
2012,Saskatchewan,Total field area,Hectares,v52222162,9.3.3,670.00000000
2013,Saskatchewan,Total field area,Hectares,v52222162,9.3.3,628.00000000
2014,Saskatchewan,Total field area,Hectares,v52222162,9.3.3,671.00000000
2015,Saskatchewan,Total field area,Hectares,v52222162,9.3.3,666.00000000
2007,Saskatchewan,Total container area,Acres,v52222173,9.4.2,0.00000000
2008,Saskatchewan,Total container area,Acres,v52222173,9.4.2,56.00000000
2009,Saskatchewan,Total container area,Acres,v52222173,9.4.2,74.00000000
2010,Saskatchewan,Total container area,Acres,v52222173,9.4.2,94.00000000
2011,Saskatchewan,Total container area,Acres,v52222173,9.4.2,x
2012,Saskatchewan,Total container area,Acres,v52222173,9.4.2,90.00000000
2013,Saskatchewan,Total container area,Acres,v52222173,9.4.2,90.00000000
2014,Saskatchewan,Total container area,Acres,v52222173,9.4.2,79.00000000
2015,Saskatchewan,Total container area,Acres,v52222173,9.4.2,83.00000000
2007,Saskatchewan,Total container area,Hectares,v52222184,9.4.3,0.00000000
2008,Saskatchewan,Total container area,Hectares,v52222184,9.4.3,23.00000000
2009,Saskatchewan,Total container area,Hectares,v52222184,9.4.3,30.00000000
2010,Saskatchewan,Total container area,Hectares,v52222184,9.4.3,38.00000000
2011,Saskatchewan,Total container area,Hectares,v52222184,9.4.3,x
2012,Saskatchewan,Total container area,Hectares,v52222184,9.4.3,36.00000000
2013,Saskatchewan,Total container area,Hectares,v52222184,9.4.3,36.00000000
2014,Saskatchewan,Total container area,Hectares,v52222184,9.4.3,32.00000000
2015,Saskatchewan,Total container area,Hectares,v52222184,9.4.3,34.00000000
2007,Alberta,Total nurseries,Number,v52222141,10.1.1,288.00000000
2008,Alberta,Total nurseries,Number,v52222141,10.1.1,293.00000000
2009,Alberta,Total nurseries,Number,v52222141,10.1.1,298.00000000
2010,Alberta,Total nurseries,Number,v52222141,10.1.1,303.00000000
2011,Alberta,Total nurseries,Number,v52222141,10.1.1,305.00000000
2012,Alberta,Total nurseries,Number,v52222141,10.1.1,300.00000000
2013,Alberta,Total nurseries,Number,v52222141,10.1.1,290.00000000
2014,Alberta,Total nurseries,Number,v52222141,10.1.1,280.00000000
2015,Alberta,Total nurseries,Number,v52222141,10.1.1,275.00000000
2007,Alberta,Total nursery area,Acres,v52222196,10.2.2,0.00000000
2008,Alberta,Total nursery area,Acres,v52222196,10.2.2,8744.00000000
2009,Alberta,Total nursery area,Acres,v52222196,10.2.2,8942.00000000
2010,Alberta,Total nursery area,Acres,v52222196,10.2.2,9140.00000000
2011,Alberta,Total nursery area,Acres,v52222196,10.2.2,9340.00000000
2012,Alberta,Total nursery area,Acres,v52222196,10.2.2,8805.00000000
2013,Alberta,Total nursery area,Acres,v52222196,10.2.2,6309.00000000
2014,Alberta,Total nursery area,Acres,v52222196,10.2.2,6304.00000000
2015,Alberta,Total nursery area,Acres,v52222196,10.2.2,6190.00000000
2007,Alberta,Total nursery area,Hectares,v52222207,10.2.3,0.00000000
2008,Alberta,Total nursery area,Hectares,v52222207,10.2.3,3539.00000000
2009,Alberta,Total nursery area,Hectares,v52222207,10.2.3,3619.00000000
2010,Alberta,Total nursery area,Hectares,v52222207,10.2.3,3699.00000000
2011,Alberta,Total nursery area,Hectares,v52222207,10.2.3,3780.00000000
2012,Alberta,Total nursery area,Hectares,v52222207,10.2.3,3563.00000000
2013,Alberta,Total nursery area,Hectares,v52222207,10.2.3,2553.00000000
2014,Alberta,Total nursery area,Hectares,v52222207,10.2.3,2551.00000000
2015,Alberta,Total nursery area,Hectares,v52222207,10.2.3,2505.00000000
2007,Alberta,Total field area,Acres,v52222152,10.3.2,8283.00000000
2008,Alberta,Total field area,Acres,v52222152,10.3.2,5454.00000000
2009,Alberta,Total field area,Acres,v52222152,10.3.2,5294.00000000
2010,Alberta,Total field area,Acres,v52222152,10.3.2,7717.00000000
2011,Alberta,Total field area,Acres,v52222152,10.3.2,7835.00000000
2012,Alberta,Total field area,Acres,v52222152,10.3.2,7405.00000000
2013,Alberta,Total field area,Acres,v52222152,10.3.2,5329.00000000
2014,Alberta,Total field area,Acres,v52222152,10.3.2,5329.00000000
2015,Alberta,Total field area,Acres,v52222152,10.3.2,5358.00000000
2007,Alberta,Total field area,Hectares,v52222163,10.3.3,3352.00000000
2008,Alberta,Total field area,Hectares,v52222163,10.3.3,2207.00000000
2009,Alberta,Total field area,Hectares,v52222163,10.3.3,2142.00000000
2010,Alberta,Total field area,Hectares,v52222163,10.3.3,3123.00000000
2011,Alberta,Total field area,Hectares,v52222163,10.3.3,3171.00000000
2012,Alberta,Total field area,Hectares,v52222163,10.3.3,2997.00000000
2013,Alberta,Total field area,Hectares,v52222163,10.3.3,2157.00000000
2014,Alberta,Total field area,Hectares,v52222163,10.3.3,2157.00000000
2015,Alberta,Total field area,Hectares,v52222163,10.3.3,2168.00000000
2007,Alberta,Total container area,Acres,v52222174,10.4.2,0.00000000
2008,Alberta,Total container area,Acres,v52222174,10.4.2,F
2009,Alberta,Total container area,Acres,v52222174,10.4.2,3648.00000000
2010,Alberta,Total container area,Acres,v52222174,10.4.2,F
2011,Alberta,Total container area,Acres,v52222174,10.4.2,1505.00000000
2012,Alberta,Total container area,Acres,v52222174,10.4.2,1400.00000000
2013,Alberta,Total container area,Acres,v52222174,10.4.2,980.00000000
2014,Alberta,Total container area,Acres,v52222174,10.4.2,975.00000000
2015,Alberta,Total container area,Acres,v52222174,10.4.2,832.00000000
2007,Alberta,Total container area,Hectares,v52222185,10.4.3,0.00000000
2008,Alberta,Total container area,Hectares,v52222185,10.4.3,F
2009,Alberta,Total container area,Hectares,v52222185,10.4.3,1476.00000000
2010,Alberta,Total container area,Hectares,v52222185,10.4.3,F
2011,Alberta,Total container area,Hectares,v52222185,10.4.3,609.00000000
2012,Alberta,Total container area,Hectares,v52222185,10.4.3,567.00000000
2013,Alberta,Total container area,Hectares,v52222185,10.4.3,397.00000000
2014,Alberta,Total container area,Hectares,v52222185,10.4.3,395.00000000
2015,Alberta,Total container area,Hectares,v52222185,10.4.3,337.00000000
2007,British Columbia,Total nurseries,Number,v52222142,11.1.1,315.00000000
2008,British Columbia,Total nurseries,Number,v52222142,11.1.1,312.00000000
2009,British Columbia,Total nurseries,Number,v52222142,11.1.1,309.00000000
2010,British Columbia,Total nurseries,Number,v52222142,11.1.1,306.00000000
2011,British Columbia,Total nurseries,Number,v52222142,11.1.1,300.00000000
2012,British Columbia,Total nurseries,Number,v52222142,11.1.1,310.00000000
2013,British Columbia,Total nurseries,Number,v52222142,11.1.1,305.00000000
2014,British Columbia,Total nurseries,Number,v52222142,11.1.1,300.00000000
2015,British Columbia,Total nurseries,Number,v52222142,11.1.1,290.00000000
2007,British Columbia,Total nursery area,Acres,v52222197,11.2.2,0.00000000
2008,British Columbia,Total nursery area,Acres,v52222197,11.2.2,9792.00000000
2009,British Columbia,Total nursery area,Acres,v52222197,11.2.2,9842.00000000
2010,British Columbia,Total nursery area,Acres,v52222197,11.2.2,9892.00000000
2011,British Columbia,Total nursery area,Acres,v52222197,11.2.2,9940.00000000
2012,British Columbia,Total nursery area,Acres,v52222197,11.2.2,9760.00000000
2013,British Columbia,Total nursery area,Acres,v52222197,11.2.2,9200.00000000
2014,British Columbia,Total nursery area,Acres,v52222197,11.2.2,8725.00000000
2015,British Columbia,Total nursery area,Acres,v52222197,11.2.2,8211.00000000
2007,British Columbia,Total nursery area,Hectares,v52222208,11.2.3,0.00000000
2008,British Columbia,Total nursery area,Hectares,v52222208,11.2.3,3963.00000000
2009,British Columbia,Total nursery area,Hectares,v52222208,11.2.3,3983.00000000
2010,British Columbia,Total nursery area,Hectares,v52222208,11.2.3,4003.00000000
2011,British Columbia,Total nursery area,Hectares,v52222208,11.2.3,4023.00000000
2012,British Columbia,Total nursery area,Hectares,v52222208,11.2.3,3950.00000000
2013,British Columbia,Total nursery area,Hectares,v52222208,11.2.3,3723.00000000
2014,British Columbia,Total nursery area,Hectares,v52222208,11.2.3,3531.00000000
2015,British Columbia,Total nursery area,Hectares,v52222208,11.2.3,3323.00000000
2007,British Columbia,Total field area,Acres,v52222153,11.3.2,9696.00000000
2008,British Columbia,Total field area,Acres,v52222153,11.3.2,6854.00000000
2009,British Columbia,Total field area,Acres,v52222153,11.3.2,7030.00000000
2010,British Columbia,Total field area,Acres,v52222153,11.3.2,6672.00000000
2011,British Columbia,Total field area,Acres,v52222153,11.3.2,7010.00000000
2012,British Columbia,Total field area,Acres,v52222153,11.3.2,6705.00000000
2013,British Columbia,Total field area,Acres,v52222153,11.3.2,6300.00000000
2014,British Columbia,Total field area,Acres,v52222153,11.3.2,6036.00000000
2015,British Columbia,Total field area,Acres,v52222153,11.3.2,5670.00000000
2007,British Columbia,Total field area,Hectares,v52222164,11.3.3,3924.00000000
2008,British Columbia,Total field area,Hectares,v52222164,11.3.3,2774.00000000
2009,British Columbia,Total field area,Hectares,v52222164,11.3.3,2845.00000000
2010,British Columbia,Total field area,Hectares,v52222164,11.3.3,2700.00000000
2011,British Columbia,Total field area,Hectares,v52222164,11.3.3,2837.00000000
2012,British Columbia,Total field area,Hectares,v52222164,11.3.3,2713.00000000
2013,British Columbia,Total field area,Hectares,v52222164,11.3.3,2550.00000000
2014,British Columbia,Total field area,Hectares,v52222164,11.3.3,2443.00000000
2015,British Columbia,Total field area,Hectares,v52222164,11.3.3,2295.00000000
2007,British Columbia,Total container area,Acres,v52222175,11.4.2,0.00000000
2008,British Columbia,Total container area,Acres,v52222175,11.4.2,F
2009,British Columbia,Total container area,Acres,v52222175,11.4.2,2812.00000000
2010,British Columbia,Total container area,Acres,v52222175,11.4.2,3220.00000000
2011,British Columbia,Total container area,Acres,v52222175,11.4.2,2930.00000000
2012,British Columbia,Total container area,Acres,v52222175,11.4.2,3055.00000000
2013,British Columbia,Total container area,Acres,v52222175,11.4.2,2900.00000000
2014,British Columbia,Total container area,Acres,v52222175,11.4.2,2689.00000000
2015,British Columbia,Total container area,Acres,v52222175,11.4.2,2541.00000000
2007,British Columbia,Total container area,Hectares,v52222186,11.4.3,0.00000000
2008,British Columbia,Total container area,Hectares,v52222186,11.4.3,F
2009,British Columbia,Total container area,Hectares,v52222186,11.4.3,1138.00000000
2010,British Columbia,Total container area,Hectares,v52222186,11.4.3,1303.00000000
2011,British Columbia,Total container area,Hectares,v52222186,11.4.3,1186.00000000
2012,British Columbia,Total container area,Hectares,v52222186,11.4.3,1236.00000000
2013,British Columbia,Total container area,Hectares,v52222186,11.4.3,1174.00000000
2014,British Columbia,Total container area,Hectares,v52222186,11.4.3,1088.00000000
2015,British Columbia,Total container area,Hectares,v52222186,11.4.3,1028.00000000
