Ref_Date,GEO,HARVEST,POTATO,Vector,Coordinate,Value
2011,United States,Spring harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902092,1.3.3,279.00
2012,United States,Spring harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902092,1.3.3,283.00
2013,United States,Spring harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902092,1.3.3,304.00
2014,United States,Spring harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902092,1.3.3,318.00
2015,United States,Spring harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902092,1.3.3,304.00
2006,United States,Spring harvest,"Production, potatoes (hundredweight)",v41902093,1.3.4,19766000.00
2007,United States,Spring harvest,"Production, potatoes (hundredweight)",v41902093,1.3.4,19820000.00
2008,United States,Spring harvest,"Production, potatoes (hundredweight)",v41902093,1.3.4,20132000.00
2009,United States,Spring harvest,"Production, potatoes (hundredweight)",v41902093,1.3.4,21321000.00
2010,United States,Spring harvest,"Production, potatoes (hundredweight)",v41902093,1.3.4,24797000.00
2011,United States,Spring harvest,"Production, potatoes (hundredweight)",v41902093,1.3.4,25573000.00
2012,United States,Spring harvest,"Production, potatoes (hundredweight)",v41902093,1.3.4,26736000.00
2013,United States,Spring harvest,"Production, potatoes (hundredweight)",v41902093,1.3.4,22137000.00
2014,United States,Spring harvest,"Production, potatoes (hundredweight)",v41902093,1.3.4,22608000.00
2015,United States,Spring harvest,"Production, potatoes (hundredweight)",v41902093,1.3.4,20068000.00
2006,United States,Spring harvest,"Amount utilized, potatoes (hundredweight)",v41902094,1.3.5,19054000.00
2007,United States,Spring harvest,"Amount utilized, potatoes (hundredweight)",v41902094,1.3.5,19104000.00
2008,United States,Spring harvest,"Amount utilized, potatoes (hundredweight)",v41902094,1.3.5,19165000.00
2009,United States,Spring harvest,"Amount utilized, potatoes (hundredweight)",v41902094,1.3.5,20583000.00
2010,United States,Spring harvest,"Amount utilized, potatoes (hundredweight)",v41902094,1.3.5,23512000.00
2011,United States,Spring harvest,"Amount utilized, potatoes (hundredweight)",v41902094,1.3.5,24876000.00
2012,United States,Spring harvest,"Amount utilized, potatoes (hundredweight)",v41902094,1.3.5,26429000.00
2013,United States,Spring harvest,"Amount utilized, potatoes (hundredweight)",v41902094,1.3.5,21117000.00
2014,United States,Spring harvest,"Amount utilized, potatoes (hundredweight)",v41902094,1.3.5,24168000.00
2015,United States,Spring harvest,"Amount utilized, potatoes (hundredweight)",v41902094,1.3.5,..
2006,United States,Spring harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902095,1.3.6,13.78
2007,United States,Spring harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902095,1.3.6,15.39
2008,United States,Spring harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902095,1.3.6,15.07
2009,United States,Spring harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902095,1.3.6,18.32
2010,United States,Spring harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902095,1.3.6,13.97
2011,United States,Spring harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902095,1.3.6,15.89
2012,United States,Spring harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902095,1.3.6,16.18
2013,United States,Spring harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902095,1.3.6,17.97
2014,United States,Spring harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902095,1.3.6,16.27
2015,United States,Spring harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902095,1.3.6,..
2006,United States,Spring harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902096,1.3.7,260914.00
2007,United States,Spring harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902096,1.3.7,297207.00
2008,United States,Spring harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902096,1.3.7,288376.00
2009,United States,Spring harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902096,1.3.7,372608.00
2010,United States,Spring harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902096,1.3.7,326647.00
2011,United States,Spring harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902096,1.3.7,391321.00
2012,United States,Spring harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902096,1.3.7,423698.00
2013,United States,Spring harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902096,1.3.7,379383.00
2014,United States,Spring harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902096,1.3.7,356069.00
2015,United States,Spring harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902096,1.3.7,..
2006,United States,Summer harvest,"Seeded area, potatoes (acres)",v41902097,1.4.1,55300.00
2007,United States,Summer harvest,"Seeded area, potatoes (acres)",v41902097,1.4.1,50800.00
2008,United States,Summer harvest,"Seeded area, potatoes (acres)",v41902097,1.4.1,47200.00
2009,United States,Summer harvest,"Seeded area, potatoes (acres)",v41902097,1.4.1,46300.00
2010,United States,Summer harvest,"Seeded area, potatoes (acres)",v41902097,1.4.1,42100.00
2011,United States,Summer harvest,"Seeded area, potatoes (acres)",v41902097,1.4.1,48200.00
2012,United States,Summer harvest,"Seeded area, potatoes (acres)",v41902097,1.4.1,50100.00
2013,United States,Summer harvest,"Seeded area, potatoes (acres)",v41902097,1.4.1,48700.00
2014,United States,Summer harvest,"Seeded area, potatoes (acres)",v41902097,1.4.1,50400.00
2015,United States,Summer harvest,"Seeded area, potatoes (acres)",v41902097,1.4.1,52700.00
2006,United States,Summer harvest,"Harvested area, potatoes (acres)",v41902098,1.4.2,51200.00
2007,United States,Summer harvest,"Harvested area, potatoes (acres)",v41902098,1.4.2,48300.00
2008,United States,Summer harvest,"Harvested area, potatoes (acres)",v41902098,1.4.2,45100.00
2009,United States,Summer harvest,"Harvested area, potatoes (acres)",v41902098,1.4.2,44400.00
2010,United States,Summer harvest,"Harvested area, potatoes (acres)",v41902098,1.4.2,40400.00
2011,United States,Summer harvest,"Harvested area, potatoes (acres)",v41902098,1.4.2,46000.00
2012,United States,Summer harvest,"Harvested area, potatoes (acres)",v41902098,1.4.2,49000.00
2013,United States,Summer harvest,"Harvested area, potatoes (acres)",v41902098,1.4.2,47500.00
2014,United States,Summer harvest,"Harvested area, potatoes (acres)",v41902098,1.4.2,48900.00
2015,United States,Summer harvest,"Harvested area, potatoes (acres)",v41902098,1.4.2,51100.00
2006,United States,Summer harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902099,1.4.3,337.00
2007,United States,Summer harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902099,1.4.3,331.00
2008,United States,Summer harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902099,1.4.3,306.00
2009,United States,Summer harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902099,1.4.3,351.00
2010,United States,Summer harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902099,1.4.3,321.00
2011,United States,Summer harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902099,1.4.3,280.00
2012,United States,Summer harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902099,1.4.3,372.00
2013,United States,Summer harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902099,1.4.3,363.00
2014,United States,Summer harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902099,1.4.3,324.00
2015,United States,Summer harvest,"Average yield, potatoes (hundredweight per harvested acres)",v41902099,1.4.3,331.00
2006,United States,Summer harvest,"Production, potatoes (hundredweight)",v41902100,1.4.4,17261000.00
2007,United States,Summer harvest,"Production, potatoes (hundredweight)",v41902100,1.4.4,15997000.00
2008,United States,Summer harvest,"Production, potatoes (hundredweight)",v41902100,1.4.4,13805000.00
2009,United States,Summer harvest,"Production, potatoes (hundredweight)",v41902100,1.4.4,15604000.00
2010,United States,Summer harvest,"Production, potatoes (hundredweight)",v41902100,1.4.4,12971000.00
2011,United States,Summer harvest,"Production, potatoes (hundredweight)",v41902100,1.4.4,12894000.00
2012,United States,Summer harvest,"Production, potatoes (hundredweight)",v41902100,1.4.4,18204000.00
2013,United States,Summer harvest,"Production, potatoes (hundredweight)",v41902100,1.4.4,17240000.00
2014,United States,Summer harvest,"Production, potatoes (hundredweight)",v41902100,1.4.4,15859000.00
2015,United States,Summer harvest,"Production, potatoes (hundredweight)",v41902100,1.4.4,16907000.00
2006,United States,Summer harvest,"Amount utilized, potatoes (hundredweight)",v41902101,1.4.5,16816000.00
2007,United States,Summer harvest,"Amount utilized, potatoes (hundredweight)",v41902101,1.4.5,15521000.00
2008,United States,Summer harvest,"Amount utilized, potatoes (hundredweight)",v41902101,1.4.5,13341000.00
2009,United States,Summer harvest,"Amount utilized, potatoes (hundredweight)",v41902101,1.4.5,15235000.00
2010,United States,Summer harvest,"Amount utilized, potatoes (hundredweight)",v41902101,1.4.5,12653000.00
2011,United States,Summer harvest,"Amount utilized, potatoes (hundredweight)",v41902101,1.4.5,12527000.00
2012,United States,Summer harvest,"Amount utilized, potatoes (hundredweight)",v41902101,1.4.5,17761000.00
2013,United States,Summer harvest,"Amount utilized, potatoes (hundredweight)",v41902101,1.4.5,16349000.00
2014,United States,Summer harvest,"Amount utilized, potatoes (hundredweight)",v41902101,1.4.5,16951000.00
2015,United States,Summer harvest,"Amount utilized, potatoes (hundredweight)",v41902101,1.4.5,..
2006,United States,Summer harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902102,1.4.6,12.12
2007,United States,Summer harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902102,1.4.6,9.63
2008,United States,Summer harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902102,1.4.6,15.21
2009,United States,Summer harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902102,1.4.6,12.89
2010,United States,Summer harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902102,1.4.6,12.39
2011,United States,Summer harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902102,1.4.6,12.37
2012,United States,Summer harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902102,1.4.6,10.99
2013,United States,Summer harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902102,1.4.6,16.14
2014,United States,Summer harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902102,1.4.6,15.10
2015,United States,Summer harvest,"Average price, potatoes (canadian dollars per hundredweight)",v41902102,1.4.6,..
2006,United States,Summer harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902103,1.4.7,202572.00
2007,United States,Summer harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902103,1.4.7,148075.00
2008,United States,Summer harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902103,1.4.7,202193.00
2009,United States,Summer harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902103,1.4.7,195755.00
2010,United States,Summer harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902103,1.4.7,156490.00
2011,United States,Summer harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902103,1.4.7,154594.00
2012,United States,Summer harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902103,1.4.7,194743.00
2013,United States,Summer harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902103,1.4.7,263453.00
2014,United States,Summer harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902103,1.4.7,236542.00
2015,United States,Summer harvest,"Total value of sales, potatoes (canadian dollars x 1,000)",v41902103,1.4.7,..
1998,United States,Fall harvest,"Seeded area, potatoes (acres)",v41902104,1.5.1,1235100.00
