Ref_Date,GEO,Geographical classification,SALES,ADJUSTMENT,Vector,Coordinate,Value
2003/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1638552
2003/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1906284
2003/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2249797
2003/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,3189764
2004/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1377654
2004/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1410077
2004/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1580817
2004/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1767290
2004/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1864238
2004/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1839699
2004/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1841473
2004/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1838878
2004/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1762507
2004/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2041573
2004/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2229739
2004/12,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,3278459
2005/01,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1448373
2005/02,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1404507
2005/03,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1681833
2005/04,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1815446
2005/05,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1834899
2005/06,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1945603
2005/07,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1866227
2005/08,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1864619
2005/09,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,1809142
2005/10,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2064693
2005/11,Canada,,Sales including concessions,"Unadjusted (x 1,000)",v15180303,1.1.1,2261997
1991/01,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1019897
1991/02,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1082528
1991/03,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1093364
1991/04,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1065565
1991/05,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1088783
1991/06,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1089580
1991/07,Canada,,Sales including concessions,"Seasonally adjusted (x 1,000)",v15180304,1.1.2,1085017
