Ref_Date,GEO,NAICS,SALES,Vector,Coordinate,Value
2014,Northwest Territories,Food services and drinking places,Total sales,v106014104,13.1.1,100.0
2013,Northwest Territories,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014105,13.1.2,12.9
2014,Northwest Territories,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014105,13.1.2,15.1
2013,Northwest Territories,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014106,13.1.3,82.2
2014,Northwest Territories,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014106,13.1.3,81.0
2013,Northwest Territories,Food services and drinking places,Other sales,v106014107,13.1.4,4.9
2014,Northwest Territories,Food services and drinking places,Other sales,v106014107,13.1.4,3.9
2013,Northwest Territories,Full-service restaurants,Total sales,v106014108,13.2.1,100.0
2014,Northwest Territories,Full-service restaurants,Total sales,v106014108,13.2.1,100.0
2013,Northwest Territories,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014109,13.2.2,x
2014,Northwest Territories,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014109,13.2.2,x
2013,Northwest Territories,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014110,13.2.3,87.8
2014,Northwest Territories,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014110,13.2.3,86.2
2013,Northwest Territories,Full-service restaurants,Other sales,v106014111,13.2.4,x
2014,Northwest Territories,Full-service restaurants,Other sales,v106014111,13.2.4,x
2013,Northwest Territories,Drinking places (alcoholic beverages),Total sales,v107787441,13.3.1,100.0
2014,Northwest Territories,Drinking places (alcoholic beverages),Total sales,v107787441,13.3.1,100.0
2013,Northwest Territories,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787442,13.3.2,x
2014,Northwest Territories,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787442,13.3.2,x
2013,Northwest Territories,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787443,13.3.3,x
2014,Northwest Territories,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787443,13.3.3,x
2013,Northwest Territories,Drinking places (alcoholic beverages),Other sales,v107787444,13.3.4,x
2014,Northwest Territories,Drinking places (alcoholic beverages),Other sales,v107787444,13.3.4,x
2013,Nunavut,Food services and drinking places,Total sales,v106014124,14.1.1,100.0
2014,Nunavut,Food services and drinking places,Total sales,v106014124,14.1.1,100.0
2013,Nunavut,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014125,14.1.2,x
2014,Nunavut,Food services and drinking places,Sales of alcoholic beverages for immediate consumption on the premises,v106014125,14.1.2,10.0
2013,Nunavut,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014126,14.1.3,75.7
2014,Nunavut,Food services and drinking places,Sales of food and non-alcoholic beverages,v106014126,14.1.3,76.9
2013,Nunavut,Food services and drinking places,Other sales,v106014127,14.1.4,x
2014,Nunavut,Food services and drinking places,Other sales,v106014127,14.1.4,13.2
2013,Nunavut,Full-service restaurants,Total sales,v106014128,14.2.1,100.0
2014,Nunavut,Full-service restaurants,Total sales,v106014128,14.2.1,100.0
2013,Nunavut,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014129,14.2.2,x
2014,Nunavut,Full-service restaurants,Sales of alcoholic beverages for immediate consumption on the premises,v106014129,14.2.2,x
2013,Nunavut,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014130,14.2.3,x
2014,Nunavut,Full-service restaurants,Sales of food and non-alcoholic beverages,v106014130,14.2.3,x
2013,Nunavut,Full-service restaurants,Other sales,v106014131,14.2.4,x
2014,Nunavut,Full-service restaurants,Other sales,v106014131,14.2.4,0.0
2013,Nunavut,Drinking places (alcoholic beverages),Total sales,v107787445,14.3.1,..
2014,Nunavut,Drinking places (alcoholic beverages),Total sales,v107787445,14.3.1,..
2013,Nunavut,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787446,14.3.2,..
2014,Nunavut,Drinking places (alcoholic beverages),Sales of alcoholic beverages for immediate consumption on the premises,v107787446,14.3.2,..
2013,Nunavut,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787447,14.3.3,..
2014,Nunavut,Drinking places (alcoholic beverages),Sales of food and non-alcoholic beverages,v107787447,14.3.3,..
2013,Nunavut,Drinking places (alcoholic beverages),Other sales,v107787448,14.3.4,..
2014,Nunavut,Drinking places (alcoholic beverages),Other sales,v107787448,14.3.4,..
