Ref_Date,GEO,INDUSTRY,SUMMARY,Vector,Coordinate,Value
2012,Newfoundland and Labrador,Special food services,"Operating expenses (x 1,000,000)",v99848536,2.4.2,116.4
2013,Newfoundland and Labrador,Special food services,"Operating expenses (x 1,000,000)",v99848536,2.4.2,129.1
2014,Newfoundland and Labrador,Special food services,"Operating expenses (x 1,000,000)",v99848536,2.4.2,132.3
2012,Newfoundland and Labrador,Special food services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848537,2.4.3,54.3
2013,Newfoundland and Labrador,Special food services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848537,2.4.3,60.3
2014,Newfoundland and Labrador,Special food services,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848537,2.4.3,62.6
2012,Newfoundland and Labrador,Special food services,Operating profit margin (percent),v99848538,2.4.4,4.0
2013,Newfoundland and Labrador,Special food services,Operating profit margin (percent),v99848538,2.4.4,4.4
2014,Newfoundland and Labrador,Special food services,Operating profit margin (percent),v99848538,2.4.4,5.7
2012,Newfoundland and Labrador,Drinking places (alcoholic beverages),"Operating revenue (x 1,000,000)",v99848539,2.5.1,56.3
2013,Newfoundland and Labrador,Drinking places (alcoholic beverages),"Operating revenue (x 1,000,000)",v99848539,2.5.1,62.4
2014,Newfoundland and Labrador,Drinking places (alcoholic beverages),"Operating revenue (x 1,000,000)",v99848539,2.5.1,63.5
2012,Newfoundland and Labrador,Drinking places (alcoholic beverages),"Operating expenses (x 1,000,000)",v99848540,2.5.2,54.6
2013,Newfoundland and Labrador,Drinking places (alcoholic beverages),"Operating expenses (x 1,000,000)",v99848540,2.5.2,60.0
2014,Newfoundland and Labrador,Drinking places (alcoholic beverages),"Operating expenses (x 1,000,000)",v99848540,2.5.2,61.7
2012,Newfoundland and Labrador,Drinking places (alcoholic beverages),"Salaries, wages, commissions and benefits (x 1,000,000)",v99848541,2.5.3,15.7
2013,Newfoundland and Labrador,Drinking places (alcoholic beverages),"Salaries, wages, commissions and benefits (x 1,000,000)",v99848541,2.5.3,17.1
2014,Newfoundland and Labrador,Drinking places (alcoholic beverages),"Salaries, wages, commissions and benefits (x 1,000,000)",v99848541,2.5.3,17.5
2012,Newfoundland and Labrador,Drinking places (alcoholic beverages),Operating profit margin (percent),v99848542,2.5.4,3.0
2013,Newfoundland and Labrador,Drinking places (alcoholic beverages),Operating profit margin (percent),v99848542,2.5.4,3.9
2014,Newfoundland and Labrador,Drinking places (alcoholic beverages),Operating profit margin (percent),v99848542,2.5.4,2.8
2012,Prince Edward Island,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848543,3.1.1,210.2
2013,Prince Edward Island,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848543,3.1.1,221.1
2014,Prince Edward Island,Food services and drinking places,"Operating revenue (x 1,000,000)",v99848543,3.1.1,234.6
2012,Prince Edward Island,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848544,3.1.2,199.9
2013,Prince Edward Island,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848544,3.1.2,210.3
2014,Prince Edward Island,Food services and drinking places,"Operating expenses (x 1,000,000)",v99848544,3.1.2,220.8
2012,Prince Edward Island,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848545,3.1.3,67.5
2013,Prince Edward Island,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848545,3.1.3,69.1
2014,Prince Edward Island,Food services and drinking places,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848545,3.1.3,72.5
2012,Prince Edward Island,Food services and drinking places,Operating profit margin (percent),v99848546,3.1.4,4.9
2013,Prince Edward Island,Food services and drinking places,Operating profit margin (percent),v99848546,3.1.4,4.9
2014,Prince Edward Island,Food services and drinking places,Operating profit margin (percent),v99848546,3.1.4,5.9
2012,Prince Edward Island,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848547,3.2.1,92.4
2013,Prince Edward Island,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848547,3.2.1,101.3
2014,Prince Edward Island,Full-service restaurants,"Operating revenue (x 1,000,000)",v99848547,3.2.1,107.4
2012,Prince Edward Island,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848548,3.2.2,89.5
2013,Prince Edward Island,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848548,3.2.2,98.1
2014,Prince Edward Island,Full-service restaurants,"Operating expenses (x 1,000,000)",v99848548,3.2.2,101.7
2012,Prince Edward Island,Full-service restaurants,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848549,3.2.3,30.9
2013,Prince Edward Island,Full-service restaurants,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848549,3.2.3,31.9
2014,Prince Edward Island,Full-service restaurants,"Salaries, wages, commissions and benefits (x 1,000,000)",v99848549,3.2.3,33.6
2012,Prince Edward Island,Full-service restaurants,Operating profit margin (percent),v99848550,3.2.4,3.1
