Ref_Date,GEO,MAP,Vector,Coordinate,Value
1993,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,3059.0000
1994,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,3974.0000
1995,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,2968.0000
1996,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,3364.0000
1997,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,3969.0000
1998,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,5668.0000
1999,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,4048.0000
2000,New Brunswick,"Value of maple syrup (dollars x 1,000)",v47926,3.4,3212.0000
1924,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2065.0000
1925,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1910.0000
1926,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1601.0000
1927,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2334.0000
1928,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2219.0000
1929,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2778.0000
1930,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2296.0000
1931,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1210.0000
1932,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1810.0000
1933,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1385.0000
1934,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1710.0000
1935,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2157.0000
1936,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2239.0000
1937,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1182.0000
1938,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2675.0000
1939,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2082.0000
1940,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2536.0000
1941,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1874.0000
1942,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2626.0000
1943,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1792.0000
1944,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2542.0000
1945,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1383.0000
1946,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1883.0000
1947,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,3157.0000
1948,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1969.0000
1949,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2059.0000
1950,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2442.0000
1951,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1900.0000
1952,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2957.0000
1953,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1788.0000
1954,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2088.0000
1955,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1928.0000
1956,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2300.0000
1957,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2636.0000
1958,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2024.0000
1959,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2021.0000
1960,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2284.0000
1961,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2302.0000
1962,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2496.0000
1963,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2555.0000
1964,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,1607.0000
1965,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2046.0000
1966,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2892.0000
1967,Quebec,"Maple products expressed as syrup, total (gallons x 1,000)",v47944,4.9,2262.0000
